commit_loss,epoch,recon_loss,step,train_loss
0.00046049419324845076,0,1.2549411058425903,9,1.255401611328125
0.0018503533210605383,0,0.7344027757644653,19,0.7362531423568726
0.00239547505043447,0,0.5861306190490723,29,0.5885260701179504
0.0026503368280828,0,0.42107799649238586,39,0.423728346824646
0.002415898023173213,0,0.24047203361988068,49,0.2428879290819168
0.0018432121723890305,0,0.17645016312599182,59,0.178293377161026
0.0015748481964692473,0,0.14749501645565033,69,0.1490698605775833
0.001603186596184969,0,0.14767307043075562,79,0.1492762565612793
0.00143670872785151,0,0.1393745243549347,89,0.1408112347126007
0.0011091232299804688,0,0.11417000740766525,99,0.11527913063764572
0.0010172813199460506,0,0.11249380558729172,109,0.1135110855102539
0.0008313051657751203,0,0.09252336621284485,119,0.09335467219352722
0.000852264289278537,0,0.09301741421222687,129,0.09386967867612839
0.0007199188112281263,0,0.0878567174077034,139,0.08857663720846176
0.0008192476816475391,0,0.09608481079339981,149,0.09690406173467636
0.0006914285477250814,0,0.08574716001749039,159,0.08643858879804611
0.0007981669041328132,0,0.0913740023970604,169,0.09217216819524765
0.0005512458737939596,0,0.07322142273187637,179,0.07377266883850098
0.0005821068771183491,0,0.0753149688243866,189,0.07589707523584366
0.0006488937069661915,0,0.08477101475000381,199,0.0854199081659317
0.0005921612028032541,0,0.07733127474784851,209,0.07792343944311142
0.0006078758160583675,0,0.0757627859711647,219,0.07637066394090652
0.0005711579578928649,0,0.07518500834703445,229,0.07575616985559464
0.0005427022115327418,0,0.06940734386444092,239,0.06995004415512085
0.0006033992976881564,0,0.07641390711069107,249,0.07701730728149414
0.0004977203207090497,0,0.06778624653816223,259,0.06828396767377853
0.0005508598405867815,0,0.07065732777118683,269,0.07120818644762039
0.0004956637276336551,0,0.06967078149318695,279,0.0701664462685585
0.00041514079202897847,0,0.06486020237207413,289,0.06527534127235413
0.00041881532524712384,0,0.06062548607587814,299,0.061044301837682724
0.00041106747812591493,0,0.06078343838453293,309,0.06119450554251671
0.00043362818541936576,0,0.06307718902826309,319,0.06351082026958466
0.00038258478161878884,0,0.05950567498803139,329,0.05988825857639313
0.00041199609404429793,0,0.059603530913591385,339,0.06001552566885948
0.000362496793968603,0,0.05633782222867012,349,0.056700319051742554
0.0004049348062835634,0,0.059027738869190216,359,0.05943267419934273
0.00032575015211477876,0,0.052670422941446304,369,0.05299617350101471
0.00033517455449327826,0,0.05355466157197952,379,0.053889837116003036
0.00038157167728058994,0,0.0593777634203434,389,0.05975933372974396
0.00036188913509249687,0,0.05661631003022194,399,0.05697819963097572
0.00032734349952079356,0,0.052434954792261124,409,0.05276229977607727
0.00036048682522960007,0,0.05867578834295273,419,0.05903627350926399
