commit_loss,epoch,recon_loss,step,train_loss,val_commit_loss,val_loss,val_recon_loss
0.0004285889444872737,0,1.23227858543396,9,1.232707142829895,,,
0.0022992566227912903,0,0.5912761092185974,19,0.5935753583908081,,,
0.0025727536994963884,0,0.45518550276756287,29,0.45775824785232544,,,
0.002170244697481394,0,0.4182228147983551,39,0.42039304971694946,,,
0.0020282838959246874,0,0.33805325627326965,49,0.3400815427303314,,,
0.0019368486246094108,0,0.2953317165374756,59,0.2972685694694519,,,
0.0018243707017973065,0,0.24797122180461884,69,0.2497955858707428,,,
0.002424117410555482,0,0.2011045515537262,79,0.20352867245674133,,,
0.0016228625318035483,0,0.16496023535728455,89,0.1665830910205841,,,
0.0013839754974469543,0,0.1304793506860733,99,0.1318633258342743,,,
0.0012094115372747183,0,0.12078694999217987,109,0.12199635803699493,,,
0.0009447465417906642,0,0.09532712399959564,119,0.09627187252044678,,,
0.0009366715676151216,0,0.09794580936431885,129,0.09888248145580292,,,
0.0007779481238685548,0,0.0904894769191742,139,0.0912674218416214,,,
0.0009717958164401352,0,0.10036465525627136,149,0.10133644938468933,,,
0.0007437358144670725,0,0.08424325287342072,159,0.08498699218034744,,,
0.0008533655200153589,0,0.09111693501472473,169,0.0919703021645546,,,
0.0006227496778592467,0,0.07552342116832733,179,0.07614617049694061,,,
0.0006284323171712458,0,0.07355093955993652,189,0.07417937368154526,,,
0.0006775071960873902,0,0.07775543630123138,199,0.07843293994665146,,,
0.000656062678899616,0,0.07785537838935852,209,0.07851143926382065,,,
0.0006211386062204838,0,0.0748077780008316,219,0.07542891800403595,,,
0.0005588872008956969,0,0.07258054614067078,229,0.07313943654298782,,,
0.0005623950273729861,0,0.06898868829011917,239,0.06955108046531677,,,
0.0005777502083219588,0,0.07250811904668808,249,0.07308586686849594,,,
0.00046177359763532877,0,0.06476202607154846,259,0.0652237981557846,,,
0.0005360408686101437,0,0.06983426213264465,269,0.07037030160427094,,,
0.00047358436859212816,0,0.06469332426786423,279,0.0651669055223465,,,
0.0004294758546166122,0,0.06082742288708687,289,0.06125690042972565,,,
0.0004005157679785043,0,0.05659539997577667,299,0.05699591711163521,,,
0.0004114810435567051,0,0.05809081718325615,309,0.05850229784846306,,,
0.0004203220596536994,0,0.06027268245816231,319,0.06069300323724747,,,
0.0003589403349906206,0,0.05411235988140106,329,0.054471299052238464,,,
0.0004080467624589801,0,0.0574495755136013,339,0.05785762146115303,,,
0.000334752956405282,0,0.052614595741033554,349,0.05294935032725334,,,
0.0003832863876596093,0,0.05816081166267395,359,0.0585440993309021,,,
0.0003378296096343547,0,0.05637107416987419,369,0.05670890212059021,,,
0.00031725293956696987,0,0.0527765229344368,379,0.05309377610683441,,,
0.0003576098824851215,0,0.05575491860508919,389,0.05611252784729004,,,
0.0003321650146972388,0,0.05171206220984459,399,0.052044227719306946,,,
0.0003159432380925864,0,0.05105719715356827,409,0.05137313902378082,,,
0.00033040918060578406,0,0.0506778359413147,419,0.05100824683904648,,,
0.0003370689519215375,0,0.052544064819812775,429,0.05288113281130791,,,
0.00029786344384774566,0,0.048661477863788605,439,0.048959340900182724,,,
0.0002952086506411433,0,0.050095584243535995,449,0.05039079114794731,,,
0.0003237141645513475,0,0.04965760186314583,459,0.049981314688920975,,,
0.0002854259219020605,0,0.04731663689017296,469,0.04760206118226051,,,
0.00027530521037988365,0,0.05110636353492737,479,0.0513816699385643,,,
0.0002540486748330295,0,0.048195891082286835,489,0.04844994097948074,,,
0.0002686229709070176,0,0.04735439270734787,499,0.04762301594018936,,,
0.00026207766495645046,0,0.045341189950704575,509,0.04560326784849167,,,
0.00025955436285585165,0,0.04574045538902283,519,0.04600001126527786,,,
0.0002253799029858783,0,0.04356275126338005,529,0.043788131326436996,,,
0.00025739442207850516,0,0.04830203950405121,539,0.048559434711933136,,,
,0,,541,,0.0,0.045211322605609894,0.045211322605609894
0.0002644999767653644,1,0.047520969063043594,549,0.04778546839952469,,,
0.0002250486722914502,1,0.04339584708213806,559,0.043620895594358444,,,
0.0002490527695044875,1,0.04641753062605858,569,0.04666658490896225,,,
0.0002595887635834515,1,0.04613255336880684,579,0.04639214277267456,,,
0.0002044859720626846,1,0.045477524399757385,589,0.04568200930953026,,,
