commit_loss,epoch,recon_loss,step,train_loss
0.0007715056417509913,0,1.2447001934051514,9,1.245471715927124
0.003155248239636421,0,0.6903346180915833,19,0.6934898495674133
0.0036600250750780106,0,0.4593600928783417,29,0.46302011609077454
0.003744568210095167,0,0.3575010597705841,39,0.36124563217163086
0.0028290976770222187,0,0.20379981398582458,49,0.2066289186477661
0.0023263623006641865,0,0.17307330667972565,59,0.17539967596530914
0.0016804873012006283,0,0.1294306367635727,69,0.13111113011837006
0.001831692410632968,0,0.13450387120246887,79,0.1363355666399002
0.0015619710320606828,0,0.12134534120559692,89,0.12290731072425842
0.001320933341048658,0,0.10884598642587662,99,0.11016692221164703
0.0011470804456621408,0,0.10377756506204605,109,0.10492464900016785
0.0009413814404979348,0,0.08798424154520035,119,0.08892562240362167
0.00096732540987432,0,0.09194206446409225,129,0.09290938824415207
0.0008220695308409631,0,0.08329702913761139,139,0.08411909639835358
